timestamp,zone,demand_kw,solar_kw,grid_import_kw,voltage_v,power_factor,anomaly_score,temp_c,time_of_day
2024-01-01 00:00:00,Dharampeth,157.13,0,141.93,229.36,0.8983,0.0812,26.6,night
2024-01-01 00:00:00,Sitabuldi,242.53,0,251.65,238.29,0.9128,0.1187,28.2,night
2024-01-01 00:00:00,Gandhibagh,268.97,0,258.71,233.06,0.9886,0.125,26.8,night
2024-01-01 00:00:00,Lakadganj,250.77,0,248.51,233.84,0.902,0.0777,27.6,night
2024-01-01 00:00:00,Sadar,251.1,0,246.77,222.67,0.893,0.1685,26.0,night
2024-01-01 00:00:00,Itwari,227.21,0,248.07,238.0,0.951,0.0085,22.7,night
2024-01-01 00:00:00,Manewada,196.67,0,208.62,228.16,0.8959,0.104,30.6,night
2024-01-01 00:00:00,Hingna,263.17,0,254.86,223.61,0.8699,0.0663,26.9,night
2024-01-01 01:00:00,Dharampeth,212.82,0,192.35,223.4,0.9464,0.1287,28.8,night
2024-01-01 01:00:00,Sitabuldi,264.8,0,263.48,234.95,0.9745,0.0014,29.3,night
2024-01-01 01:00:00,Gandhibagh,202.35,0,199.02,238.52,0.9044,0.0377,28.7,night
2024-01-01 01:00:00,Lakadganj,246.87,0,251.77,229.62,0.9495,0.1469,30.2,night
2024-01-01 01:00:00,Sadar,254.7,0,263.61,234.85,0.898,0.0326,25.4,night
2024-01-01 01:00:00,Itwari,261.12,0,257.91,229.32,0.9265,0.1329,28.2,night
2024-01-01 01:00:00,Manewada,231.02,0,240.7,237.29,0.9208,0.119,26.9,night
2024-01-01 01:00:00,Hingna,239.29,0,233.45,235.17,0.8786,0.0262,30.5,night
2024-01-01 02:00:00,Dharampeth,202.74,0,192.29,231.39,0.9,0.1658,25.9,night
2024-01-01 02:00:00,Sitabuldi,254.95,0,228.91,219.9,0.9059,0.0749,27.7,night
2024-01-01 02:00:00,Gandhibagh,279.79,0,267.68,228.93,0.9504,0.1542,30.9,night
2024-01-01 02:00:00,Lakadganj,295.56,0,303.34,228.56,0.9446,0.0765,26.8,night
2024-01-01 02:00:00,Sadar,210.11,0,196.63,223.67,0.9528,0.0876,26.8,night
2024-01-01 02:00:00,Itwari,248.1,0,246.44,230.33,0.9814,0.0225,29.3,night
2024-01-01 02:00:00,Manewada,291.6,0,307.84,220.92,0.9475,0.0675,27.4,night
2024-01-01 02:00:00,Hingna,203.34,0,199.05,224.19,0.9015,0.3659,26.9,night
2024-01-01 03:00:00,Dharampeth,196.96,0,192.16,228.86,0.913,0.0904,30.4,night
2024-01-01 03:00:00,Sitabuldi,247.22,0,249.31,231.45,0.9173,0.1693,27.0,night
2024-01-01 03:00:00,Gandhibagh,203.36,0,207.16,235.5,0.9664,0.1788,28.4,night
2024-01-01 03:00:00,Lakadganj,263.93,0,262.36,234.28,0.9497,0.1753,26.3,night
2024-01-01 03:00:00,Sadar,266.26,0,270.97,235.98,0.9282,0.0581,25.6,night
2024-01-01 03:00:00,Itwari,252.96,0,250.42,234.8,0.9782,0.1052,27.9,night
2024-01-01 03:00:00,Manewada,258.81,0,257.39,236.23,0.9362,0.0255,29.8,night
2024-01-01 03:00:00,Hingna,249.85,0,246.78,230.86,0.8894,0.1284,28.9,night
2024-01-01 04:00:00,Dharampeth,245.96,0,240.74,231.85,0.9219,0.0974,26.8,night
2024-01-01 04:00:00,Sitabuldi,181.7,0,174.38,230.88,0.9377,0.1053,31.4,night
2024-01-01 04:00:00,Gandhibagh,217.57,0,221.75,232.64,0.9054,0.0547,29.3,night
2024-01-01 04:00:00,Lakadganj,234.85,0,230.7,231.86,0.8732,0.1203,29.5,night
2024-01-01 04:00:00,Sadar,241.55,0,258.14,228.59,0.8608,0.0618,31.3,night
2024-01-01 04:00:00,Itwari,226.09,0,211.18,228.14,0.9324,0.0771,28.2,night
2024-01-01 04:00:00,Manewada,295.97,0,306.46,242.86,0.9372,0.1265,29.4,night
2024-01-01 04:00:00,Hingna,214.55,0,225.61,223.06,0.9547,0.1033,25.1,night
2024-01-01 05:00:00,Dharampeth,210.08,0,207.78,245.32,0.9185,0.0538,29.5,night
2024-01-01 05:00:00,Sitabuldi,241.52,0,251.81,232.49,0.9133,0.0835,28.8,night
2024-01-01 05:00:00,Gandhibagh,240.34,0,233.61,228.11,0.9051,0.0299,28.5,night
2024-01-01 05:00:00,Lakadganj,184.49,0,181.05,231.47,0.9543,0.0143,26.0,night
2024-01-01 05:00:00,Sadar,228.23,0,236.49,229.58,0.9091,0.1174,27.2,night
2024-01-01 05:00:00,Itwari,221.65,0,225.91,224.08,0.9224,0.1434,27.0,night
2024-01-01 05:00:00,Manewada,202.06,0,187.17,232.03,0.8819,0.1736,28.6,night
2024-01-01 05:00:00,Hingna,270.19,0,244.32,232.63,0.8706,0.1678,26.6,night
2024-01-01 06:00:00,Dharampeth,323.54,0,336.77,230.91,0.9142,0.1743,31.7,daytime
2024-01-01 06:00:00,Sitabuldi,224.23,39.0,184.99,226.73,0.8901,0.0348,29.1,daytime
2024-01-01 06:00:00,Gandhibagh,280.64,3.25,260.73,224.47,0.9681,0.1285,29.8,daytime
2024-01-01 06:00:00,Lakadganj,302.4,10.91,286.46,239.7,0.9052,0.0614,27.5,daytime
2024-01-01 06:00:00,Sadar,289.0,0,295.15,231.98,0.9043,0.0568,24.5,daytime
2024-01-01 06:00:00,Itwari,290.45,0,291.96,238.11,0.9387,0.0179,28.9,daytime
2024-01-01 06:00:00,Manewada,339.78,0,343.78,231.61,0.9075,0.0372,27.4,daytime
2024-01-01 06:00:00,Hingna,345.7,0,330.72,231.46,0.9378,0.1701,26.8,daytime
2024-01-01 07:00:00,Dharampeth,278.15,32.18,234.9,223.94,0.9518,0.093,28.5,daytime
2024-01-01 07:00:00,Sitabuldi,324.82,50.25,278.0,237.92,0.8803,0.0394,31.0,daytime
2024-01-01 07:00:00,Gandhibagh,328.72,52.9,286.93,232.33,0.9126,0.1012,27.9,daytime
2024-01-01 07:00:00,Lakadganj,316.65,45.8,276.2,228.71,0.9551,0.1011,27.4,daytime
2024-01-01 07:00:00,Sadar,214.4,65.18,147.64,222.94,0.8974,0.0572,25.2,daytime
2024-01-01 07:00:00,Itwari,343.53,46.06,306.19,227.1,0.9425,0.091,27.6,daytime
2024-01-01 07:00:00,Manewada,249.21,41.26,178.35,225.93,0.878,0.0784,27.9,daytime
2024-01-01 07:00:00,Hingna,314.91,50.05,261.61,230.05,0.9142,0.1671,28.9,daytime
2024-01-01 08:00:00,Dharampeth,234.46,60.86,145.12,227.32,0.9158,0.1243,30.1,daytime
2024-01-01 08:00:00,Sitabuldi,323.75,83.46,235.9,224.8,0.9488,0.1633,26.5,daytime
2024-01-01 08:00:00,Gandhibagh,279.31,98.39,183.64,227.46,0.9387,0.0067,26.3,daytime
2024-01-01 08:00:00,Lakadganj,269.06,104.08,149.66,226.0,0.9422,0.1212,27.1,daytime
2024-01-01 08:00:00,Sadar,280.87,76.43,197.7,226.72,0.8889,0.1705,24.6,daytime
2024-01-01 08:00:00,Itwari,271.17,115.84,161.66,224.64,0.9196,0.0435,27.9,daytime
2024-01-01 08:00:00,Manewada,218.11,97.76,128.34,223.94,0.9346,0.062,29.9,daytime
2024-01-01 08:00:00,Hingna,240.85,96.05,165.19,234.83,0.884,0.0734,29.9,daytime
2024-01-01 09:00:00,Dharampeth,406.66,139.43,263.62,234.93,0.8889,0.0106,31.0,peak
2024-01-01 09:00:00,Sitabuldi,338.2,102.0,233.54,224.52,0.9285,0.0462,30.2,peak
2024-01-01 09:00:00,Gandhibagh,381.68,128.11,243.42,222.14,0.8895,0.0021,28.2,peak
