timestamp,bin_id,zone,fill_level_pct,weight_kg,temp_c,battery_pct,collection_flag,days_since_collection,waste_type
2024-01-01 12:00:00,BIN-001,Dharampeth,17.2,40.5,37.3,94.4,0,1,Mixed
2024-01-01 12:00:00,BIN-002,Dharampeth,15.8,29.3,37.1,95.5,0,0,Mixed
2024-01-01 12:00:00,BIN-003,Sitabuldi,17.7,19.3,37.0,96.5,0,0,Mixed
2024-01-01 12:00:00,BIN-004,Sitabuldi,5.0,0.8,39.3,102.8,0,1,Mixed
2024-01-01 12:00:00,BIN-005,Gandhibagh,11.8,21.3,36.1,98.1,0,2,Mixed
2024-01-01 12:00:00,BIN-006,Gandhibagh,14.1,19.9,37.1,102.2,0,1,Mixed
2024-01-01 12:00:00,BIN-007,Lakadganj,10.7,33.5,37.3,104.1,0,1,Organic
2024-01-01 12:00:00,BIN-008,Lakadganj,22.5,41.7,38.5,100.4,0,0,Mixed
2024-01-01 12:00:00,BIN-009,Sadar,22.4,38.5,34.0,98.1,0,2,Mixed
2024-01-01 12:00:00,BIN-010,Sadar,14.7,18.1,32.1,101.9,0,2,Mixed
2024-01-01 12:00:00,BIN-011,Itwari,11.8,24.4,36.1,99.9,0,1,Organic
2024-01-01 12:00:00,BIN-012,Itwari,16.4,57.8,37.0,99.8,0,1,Organic
2024-01-01 15:00:00,BIN-001,Dharampeth,21.1,44.6,33.4,99.0,0,1,Mixed
2024-01-01 15:00:00,BIN-002,Dharampeth,16.7,36.1,34.5,99.7,0,1,Recyclable
2024-01-01 15:00:00,BIN-003,Sitabuldi,20.5,13.7,35.7,98.0,0,2,Organic
2024-01-01 15:00:00,BIN-004,Sitabuldi,22.2,42.4,35.4,103.0,0,1,Recyclable
2024-01-01 15:00:00,BIN-005,Gandhibagh,16.3,26.2,37.5,92.6,0,1,Hazardous
2024-01-01 15:00:00,BIN-006,Gandhibagh,17.3,5.9,36.9,94.6,0,0,Hazardous
2024-01-01 15:00:00,BIN-007,Lakadganj,25.0,53.9,35.3,97.2,0,0,Recyclable
2024-01-01 15:00:00,BIN-008,Lakadganj,15.6,32.0,33.7,100.7,0,1,Mixed
2024-01-01 15:00:00,BIN-009,Sadar,7.4,13.5,38.8,103.2,0,2,Mixed
